Participant.ID,B1MA2,B1MA3,B1MA4,B1MA5,B2MA1,B2MA3,B2MA4,B2MA5,B3MA1,B3MA2,B3MA3,B3MA4,B3MA5,Mat_Att,Mat_Flu,Mat_Cen,Mat_Total,PD1,PD2,DD1,DD2,PA,Score,G0,G1,G2,G3,G4,G5
ND47,11,10,10,5,26,9,23,44,3,18,13,16,44,9.00,25.50,18.80,17.77,366.541,349.072,282.067,292.156,3.441,10.5,35,38,14,28,22,59
ND48,14,1,9,3,26,1,25,14,10,30,6,26,15,6.75,16.50,17.40,13.55,334.684,339.794,280.42,304.391,8.794,11,31,45,17,36,34,74
ND49,15,9,5,23,43,21,21,44,44,15,7,15,73,13.00,32.25,30.80,25.35,349.072,343.244,272.33,288.753,5.723,7.5,30,47,10,27,20,50
ND50,44,12,26,3,2,44,21,44,1,1,5,10,44,21.25,27.75,12.20,20.40,334.121,333.559,275.537,282.067,6.607,13,31,39,14,32,22,50
ND51,2,12,8,2,10,14,15,9,21,58,9,3,1,6.00,12.00,18.40,12.13,332.438,333.559,261.4,259.876,3.993,11,45,54,28,41,42,99
ND52,5,1,4,2,4,9,2,21,8,8,5,5,30,3.00,9.00,11.20,7.73,332.998,331.321,304.391,382.693,1.932,15.5,54,63,44,40,45,118
ND53,1,3,1,4,39,9,8,0,0,8,1,10,4,2.25,14.00,4.60,6.95,335.248,335.813,NA,NA,6.089,10,46,51,41,34,34,102
ND54,2,1,5,3,13,16,8,5,8,3,4,4,1,2.75,10.50,4.00,5.75,332.438,331.321,256.853,282.067,2.627,14,49,59,36,41,38,99
ND55,7,9,2,4,48,14,28,11,4,8,14,21,17,5.50,25.25,12.80,14.52,332.438,332.998,285.39,277.155,8.87,11,47,42,22,35,23,71
ND56,3,1,29,16,4,39,12,50,15,12,20,4,50,12.25,26.25,20.20,19.57,336.946,346.146,270.741,283.723,2.767,14.5,32,41,9,29,23,51
ND57,2,2,15,2,2,27,30,55,18,8,1,10,20,5.25,28.50,11.40,15.05,336.946,335.813,278.782,288.753,5.464,11,28,35,8,26,18,38
ND58,14,9,11,9,10,1,2,5,2,8,10,1,54,10.75,4.50,15.00,10.08,333.559,332.438,283.723,278.782,4.489,16,44,59,38,33,28,90
ND59,6,2,5,5,45,37,0,44,18,37,65,53,56,4.50,31.50,45.80,27.27,356.797,349.661,302.611,299.085,4.163,7.5,40,43,32,28,33,77
ND60,35,13,18,6,58,33,7,49,30,10,47,8,42,18.00,36.75,27.40,27.38,334.684,338.082,290.449,264.477,6.844,12.5,31,40,9,35,21,50
ND61,6,0,11,9,32,42,11,52,16,53,4,33,21,6.50,34.25,25.40,22.05,NA,NA,NA,NA,NA,6,38,43,8,31,30,59
ND62,2,3,6,27,8,7,9,44,3,47,8,23,44,9.50,17.00,25.00,17.17,335.248,335.248,285.39,300.843,2.382,7.5,24,33,7,33,14,36
ND63,17,5,21,5,10,50,18,40,7,25,12,8,25,12.00,29.50,15.40,18.97,390.763,336.946,292.156,297.337,3.578,11.5,23,45,14,29,31,55
ND64,1,2,11,5,12,13,26,37,2,41,4,5,53,4.75,22.00,21.00,15.92,334.121,334.121,266.029,273.929,7.911,14.5,58,51,38,38,40,103
ND65,11,8,12,3,12,16,2,52,3,4,0,44,46,8.50,20.50,19.40,16.13,332.998,334.121,297.337,285.39,4.138,9,44,41,7,23,25,51
ND66,25,16,2,4,8,21,14,51,42,32,1,22,52,11.75,23.50,29.80,21.68,338.082,338.082,295.6,320.886,2.614,11.5,31,54,23,28,41,84
ND67,0,1,11,2,3,7,2,7,5,4,5,2,6,3.50,4.75,4.40,4.22,332.438,332.998,295.6,269.161,2.576,9.5,52,63,44,39,44,113
ND68,1,18,5,18,22,27,15,32,13,17,88,24,24,10.50,24.00,33.20,22.57,341.515,338.082,287.066,297.337,4.344,13,31,36,14,33,22,55
ND69,31,2,16,5,24,34,5,36,20,8,24,14,26,13.50,24.75,18.40,18.88,390.763,361.028,304.391,282.067,2.12,9,29,48,17,26,35,75
